Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Closing Bid Price (GH¢),Closing Offer Price (GH¢),Total Shares Traded,Total Value Traded (GH¢)
19/03/2026,ACCESS,46.64,16.20,46.62,46.62,46.60,46.62,0.00,,46.60,70,"3,262.00"
19/03/2026,ADB,5.06,5.06,5.06,5.06,5.06,5.06,0.00,5.06,,0,0.00
19/03/2026,AGA,37.00,37.00,37.00,37.00,37.00,37.00,0.00,40.70,,0,0.00
19/03/2026,**ALW**,0.10,0.10,0.10,0.10,0.10,0.10,0.00,,,0,0.00
19/03/2026,ASG,8.89,8.89,8.89,8.89,8.89,8.89,0.00,8.89,,0,0.00
19/03/2026,ALLGH,6.52,6.12,6.52,6.52,6.52,6.52,0.00,,6.52,"5,314","34,647.28"
19/03/2026,BOPP,100.00,55.82,92.09,92.09,100.00,100.00,7.91,,,"5,350","522,660.40"
19/03/2026,CAL,0.94,0.61,0.79,0.79,0.77,0.77,-0.02,0.76,0.77,"285,324","221,050.22"
19/03/2026,CLYD,0.90,0.46,0.90,0.90,0.99,0.99,0.09,0.99,,"4,000","3,960.00"
19/03/2026,CMLT,0.14,0.14,0.14,0.14,0.14,0.14,0.00,0.15,,0,0.00
19/03/2026,CPC,0.09,0.05,0.09,0.09,0.10,0.09,0.00,0.10,,690,69.00
19/03/2026,DASPHARMA,0.41,0.38,0.41,0.41,0.41,0.41,0.00,0.41,,800,328.00
19/03/2026,EGH,57.00,25.00,56.00,56.00,55.90,55.90,-0.10,50.52,55.90,"7,431","414,881.80"
19/03/2026,EGL,12.16,3.48,12.13,12.13,12.13,12.13,0.00,10.94,12.13,"3,195","38,755.35"
19/03/2026,ETI,2.82,0.76,2.72,2.72,2.45,2.45,-0.27,,2.45,"925,371","2,267,158.95"
19/03/2026,FML,16.35,8.00,15.32,15.32,13.79,15.32,0.00,,13.79,283,"3,902.57"
19/03/2026,FAB,7.84,7.71,7.84,7.84,7.84,7.84,0.00,,,0,0.00
19/03/2026,GCB,52.00,20.11,50.39,50.39,45.36,45.77,-4.62,,45.36,"12,402","587,444.95"
19/03/2026,GGBL,16.50,6.60,15.94,15.94,14.72,15.94,0.00,,14.72,368,"5,469.42"
19/03/2026,GOIL,7.85,2.96,7.63,7.63,7.85,7.85,0.22,7.85,,"144,392","1,132,155.30"
19/03/2026,MAC,5.20,5.20,5.20,5.20,5.20,5.20,0.00,5.20,,0,0.00
19/03/2026,MTNGH,6.53,4.20,6.48,6.48,6.54,6.53,0.05,6.50,6.54,"34,854,670","227,267,391.12"
19/03/2026,PBC**,0.02,0.02,0.02,0.02,0.02,0.02,0.00,,,0,0.00
19/03/2026,RBGH,5.38,1.30,4.96,4.96,5.42,5.38,0.42,5.41,,"68,773","370,040.80"
19/03/2026,SCB,79.41,29.22,79.41,79.41,79.25,79.25,-0.16,71.47,79.25,"4,695","372,108.86"
